Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2024,01,09,16:47:25,-21.9201,-67.253,179.4,5.4,"CHILE-BOLIVIA BORDER REGION",1704818845
2024,01,09,09:02:13,19.0323,-66.6045,24,2.7,"PUERTO RICO REGION",1704790933
2024,01,09,08:54:54,17.9448,-66.9608,15,3,"PUERTO RICO REGION",1704790494
2024,01,09,08:34:08,18.0395,-65.4208,13.3,2.9,"PUERTO RICO REGION",1704789248
2024,01,09,06:17:00,19.1411,-66.6203,25,3.5,"PUERTO RICO REGION",1704781020
2024,01,09,05:34:06,18.0108,-66.7283,39.8,2.7,"PUERTO RICO REGION",1704778446
2024,01,09,05:21:36,19.196,-66.611,29.3,3.4,"PUERTO RICO REGION",1704777696
2024,01,09,04:54:42,19.1487,-66.6405,25.4,3.4,"PUERTO RICO REGION",1704776082
2024,01,09,04:18:42,18.1148,-66.9947,7.9,2.3,"PUERTO RICO REGION",1704773922
2024,01,09,04:04:57,-22.5793,-66.0757,268.7,4.8,"JUJUY PROVINCE, ARGENTINA",1704773097
